Text,source_name,source_code
"Waterbury, VT - February 25, 2014 - Ben & Jerry's, the beloved Vermont-based ice cream company, has once again proven its commitment to innovative and delicious flavors with the launch of its new Core line. This exciting addition to the Ben & Jerry's family features a unique twist: a decadent, flavorful core running through the center of each pint. The initial Core lineup boasts three tantalizing options: * ""Salted Caramel Truffle Core"": This indulgent flavor combines creamy vanilla ice cream with a rich, salted caramel core studded with decadent chocolate truffles. * ""Chocolate Fudge Brownie Core"": A classic combination elevated to new heights, this flavor features chocolate ice cream swirled with fudge brownie pieces and a gooey chocolate fudge core.",google,1
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",human,0
"BACKGROUND: In pediatric cardiac anesthesiology, there is increased focus on minimizing morbidity, ensuring optimal functional status, and using health care resources sparingly. One aspect of care that has potential to affect all of the above is postoperative mechanical ventilation. Historically, postoperative ventilation was considered a must for maintaining patient stability. Ironically, it is recognized that mechanical ventilation may increase risk of adverse outcomes in the postoperative period. Hence, many institutions have advocated for immediate extubation or early extubation after many congenital heart surgeries which was first reported decades ago. METHODS: 637 consecutive patient charts were reviewed for pediatric patients undergoing cardiac surgery with cardiopulmonary bypass. Patients were placed into three groups.",human,0
"Read Matt Lawton on why Whelan is a man stuck in the past on the issue of race . Wigan owner Dave Whelan is the subject of a new FA race investigation after making extraordinarily offensive remarks about Jewish people and the Chinese. Whelan, 77, attempted to defend the appointment of controversial Scot Malky Mackay as his new manager by playing down racist, sexist and homophobic texts sent and received by the 42-year-old while he was manager of Cardiff City. But in doing so, Whelan only managed to whip up a fresh storm by claiming his manager's texts referring to 'Chinks' and Jews pursuing money were merely indicative of general opinion in this country.",human,0
"Social media platforms have become a powerful force in our modern world, shaping how we communicate, consume information",anthropic,2
"This article focuses on a recent case in which an individual was found to be deficient of the DOCK2 gene and provides evidence for neutrophil dysfunction. In order to gain further insight into the potential pathological mechanisms of human DOCK2 deficiency, whole exome sequencing revealed a novel missense mutation at position c.1812T>A (p.L605Q). Functional analysis showed that this mutation resulted in reduced protein expression and impaired biochemical activities, leading to dysregulated downstream pathways associated with immunological disorders such as phagocytosis defects amongst neutrophils. Through comprehensive clinical evaluations including hematological laboratory tests and flow cytometry analysis, it was discovered that these defects caused by defective neutrophil function increase susceptibility to viral infections.",openai,4
"Hugh Hefner, the enigmatic founder of Playboy magazine, left an indelible mark on popular culture and feminist discourse. While his legacy is often associated with the objectification of women, a closer examination reveals a complex and contradictory relationship between Hefner's vision and the feminist movement. Born on April 9, 1926, in Chicago, Illinois, Hefner's early life was marked by a fascination with sex and a desire to challenge societal norms. In 1953, he launched Playboy, a men's lifestyle magazine that featured nude centerfolds and provocative content. The magazine's early success was largely due to its unapologetic approach to sex and its celebration of female beauty. However, beneath the surface of Playboy's glossy pages, a more nuanced and problematic dynamic existed.",meta,3
"A new play, ""To Be Strong,"" currently running at the Phoenix Theatre in downtown Chicago, is generating buzz for its raw and honest portrayal of familial pressure and the struggle for individual identity. Written by rising playwright Anya Petrova, the play follows the story of Lena, a young woman grappling with the weight of expectations placed upon her by her traditional Russian family. Lena, a talented artist, dreams of pursuing a career in painting, but her family, deeply rooted in their cultural heritage, believes she should follow a more ""practical"" path, like becoming a doctor or lawyer.",google,1
"It doesn't seem that long since Manchester United's capitulation at Everton last April signalled the end of David Moyes' unhappy tenure at Manchester United. Now, as Everton prepare to visit Old Trafford on Sunday, it is perhaps time for Louis van Gaal's new United team to reveal its true self. Such has been the scale and speed of change since that awful day on Merseyside less than six months ago that only two players selected by Moyes at Goodison Park - David de Gea,and Juan Mata - can expect to start on Sunday. Six members of the 18, meanwhile, no longer play for the club. VIDEO Scroll down for the great Manchester United players exodus .",human,0
"As the temperatures drop and winter approaches, many of us are on the hunt for the perfect warm and cozy jacket to keep us snug and stylish. While The North Face and Patagonia are often at the top of the list for high-quality fleece jackets, there are plenty of other brands and options to consider. In this article, we'll take a closer look at some of the best warm and stylish alternatives to The North Face and Patagonia fleece jackets, including some affordable and eco-friendly options. The North Face Thermoball Jacket The North Face Thermoball Jacket is a popular choice among outdoor enthusiasts and fashionistas alike.",meta,3
"Globally, the AIDS response relies on active participation of nongovernmental organizations (NGOs) and civil society. In China, the government is the main provider of health and social services, and the role of NGOs is more limited than in other countries. Despite this, China has opened the door for NGO participation in its AIDS response, initially because of donor pressure but increasingly due to official acknowledgment of the important role these groups play in controlling the epidemic.",human,0
Jab against one strain might worsen infection with others.,human,0
"This study presents a high-throughput screening (HTS) campaign to identify small molecules as agonists of the relaxin family peptide receptor 4 (RXFP4). RXFP4 is related to several physiological processes and its activation may lead to numerous therapeutic applications in several diseases. HTS assays were combined with molecular modeling and constrained optimization strategies in order to find candidate agonist molecules that could be shown pharmacologically active, setting the stage for further preclinical development. From this effort, two novel antagonists were discovered that bind strongly with favorable kinetics properties triggering an efficient cAMP response on cells expressing recombinant receptors leading ultimately to potential new drug opportunities for treating major disease areas.",openai,4
"The World Cup has started with a bang and we've seen some sensational games but, make no mistake, every football fan in the country will already be looking forward to next season. Last year’s Premier League was one of the most dramatic we’ve ever seen and, with a new cast of characters, let’s hope for more of the same. Louis van Gaal arrives at Manchester United fresh from Holland’s incredible destruction of world champions Spain — and the fixtures have thrown up the perfect start for the Dutchman. VIDEO Scroll down to watch Van Gaal: I am proud to be coach of Manchester United .",human,0
"Studies in both humans and rats have indicated that certain pulmonary responses induced by exposure to an acute provocative concentration of ozone (O(3)) will eventually attenuate if the exposure is repeated on a daily basis. This phenomenon is commonly referred to as O(3) adaptation. Whether or not a “state” of adaptation develops due to long-term low level O(3) exposure is unknown. Two human studies have reported adaptation in subjects living in Los Angeles during periods when ambient O(3) concentrations have been relatively high. At present, however, we are not aware of comparable information from rats. This study assessed O(3) adaptation in rats following chronic (12 or 18 months) exposure and after a 4-month recovery period.",human,0
"This paper presents a unique insight into the evolving field of Telehealth and its impact on maternity services. With the help of modern technologies, traditional maternity care can become greatly enhanced; studies have suggested that Telehealth initiatives are providing improved access to healthcare flexibility in rural settings, better patient outcomes inpatient satisfaction and prevention or early detection of potential complications during pregnancy or childbirth. This review explores how optimally implemented maternally-targeted telecare programs can improve maternal health outcomes by taking advantage of technological advances such as remote monitoring devices and virtual visit platforms.",openai,4
makes it a party worth attending,human,0
"In the aftermath of the devastating mass shooting that occurred at the First Baptist Church in Sutherland Springs, Texas, on November 5, 2017, the nation is left to grapple with the senseless loss of life and the trauma that has been inflicted upon the community. As the investigation into the shooting continues, it is essential to acknowledge the emotional toll that such events take on those affected, including the families of the victims, first responders, and the broader community. Mass shootings can leave individuals feeling overwhelmed, anxious, and helpless. However, there are ways to grieve and cope with the emotional aftermath of such events. Here are six ways to begin the healing process: 1.",meta,3
"Two Missouri farmers who became seriously ill after being bitten by ticks were found to have contracted a new type of disease dubbed the ‘Heartland virus,’ according to a study by the Centers for Disease Control and Prevention. Both patients were admitted to hospitals after experiencing high fevers, fatigue, diarrhea and loss of appetite. Although their blood count was low, the patients did not suffer abnormal bleeding. They were initially thought to be suffering from a bacterial infection, but that diagnosis was found to be incorrect when their condition didn't improve after being treated with antibiotics.",human,0
"Portland, Maine - September 19, 2012 - Eric Leppanen, a Portland-based artist known for his thought-provoking installations, is turning his own experience with predatory lending into a powerful commentary on the American financial system. Leppanen's latest exhibition, ""Debt & Dreams,"" currently on display at the Maine Arts Center, uses a collection of found objects, personal documents, and starkly minimalist sculptures to explore the seductive allure and devastating consequences of easy credit. Leppanen's journey began in the early 2000s, when he found himself lured by the promise of quick loans to finance his burgeoning art career. What started as a seemingly harmless way to bridge financial gaps quickly spiraled into a cycle of debt that threatened to consume him.",google,1
"Despite previous claims, contaminated groundwater found in areas of Pennsylvania and Texas was not caused by controversial fracking drills. Instead, the tainted water supplies are being blamed on problems in pipes and seals in nearby natural gas wells. Experts focused on eight hydraulically fractured wells in both states, and used chemical analysis to determine when in the process of gas extraction methane leaked into groundwater. Researchers claim the drilling procedure called fracking didn't cause water in Texas and Pennsylvania to become contaminated. Instead, they blamed the methane levels on leaky wells. Fracking operations at a wellpad overlying the Marcellus Formation in Pennsylvania pictured .",human,0
"If you've ever missed that perfect photo, scientists may have the answer. Researchers today revealed a new way to take pictures called compressed ultrafast photography. While current phone can take several shots a second at best, it is able to generate two-dimensional (2D) colour images at up to 100 billion frames per second. Laser light moving off a mirror captured using the new camera. the time measurement is in picoseconds - that is one trillionth, or one millionth of one millionth of a second. The team were able to capture laser light reflecting off a mirror for the first time using their new camera .",human,0
"Dr. Amelia Rossi, a renowned food chemist and author of the bestselling book ""The Science of Flavor,"" has a confession: there's one cheese she'd never, ever touch. And it's not because of its taste, though that's certainly a factor. It's Casu Marzu, a Sardinian cheese infamous for its... unique production method. Casu Marzu, meaning ""rotten cheese"" in Sardinian, is a sheep's milk cheese intentionally infested with live insect larvae. These larvae, specifically the Piophila casei fly, break down the cheese's fats, creating a creamy texture and a pungent aroma. ""It's a fascinating example of bio-transformation,"" Dr. Rossi explains, ""but also a major health hazard."" The live larvae, while contributing to the cheese's distinctive character, pose a serious risk to consumers.",google,1
The system of tenure for university professors is an essential safeguard for academic freedom and the advancement of kno,anthropic,2
"OH masers at 1720 MHz have proven to be excellent indicators of interactions between supernova remnants and molecular clouds. Recent calculations suggest that the 6049 MHz OH maser line is excited for higher column densities than for the 1720 MHz line. It is therefore a potentially valuable indicator of remnant-cloud interaction. We present preliminary results of a survey using the Parkes Methanol Multibeam receiver for 6049 MHz and 6035/6030 MHz OH masers towards 36 supernova remnants and 4 fields in the Large and Small Magellanic Clouds. While no 6049 MHz masers have been found, three new sites of 6035 and 6030 MHz OH maser emission have been discovered in star-forming regions.",human,0
"In a refreshing display of humor and community engagement, the police department in the small town of Oakdale, USA, has taken to Twitter to troll a teenager who was looking for a fake ID online. The incident began when 17-year-old Alex Johnson tweeted about his search for a fake ID, using the hashtag #FakeID. Unbeknownst to him, the Oakdale Police Department was monitoring the hashtag and decided to have a little fun at his expense. The police department tweeted a series of humorous responses, pretending to be a fake ID vendor. ""Hey @AlexJohnson, we've got just the thing for you! Our IDs are top-notch, guaranteed to get you into any bar in town... or so we've heard,"" they tweeted.",meta,3
"This study presents an overview of the association of cytokine polymorphisms and susceptibility to severe infectious diseases. Cytokines are essential components of the body’s immune response against viral, bacterial, and parasitic infections; therefore, small variations in their size or structure between individuals can affect disease risk. A comprehensive review was conducted on existing studies that have explored differences in cytokine profiles among individuals with or without infection-induced illnesses using genetic (DNA) analyses. Results demonstrate a significant correlation between certain genetic variants and increased severity or prevalence of certain infectious diseases.",openai,4
"Oxford, England - February 18, 2015 - In a newly unearthed manuscript, renowned author and theologian C.S. Lewis explores a deeper purpose behind human suffering, expanding on his previously articulated views. The manuscript, titled ""Beyond Grief: A Second Key to Suffering,"" is set to be published later this year by the C.S. Lewis Foundation. Lewis, best known for his allegorical fantasy series ""The Chronicles of Narnia,"" has long grappled with the question of suffering in his writings. In his seminal work ""The Problem of Pain,"" he argues that suffering is not inherently evil but can serve as a catalyst for spiritual growth.",google,1
"New York, NY - November 4, 2015 - A wave of shock and outrage has swept through the city of New Haven after a police officer fatally shot an unarmed motorist who was lying on the ground. Officer Daniel Hayes, a five-year veteran of the New Haven Police Department, claims he acted in self-defense, stating that the deceased, identified as 28-year-old Marcus Jackson, ""made him do it."" The incident occurred late Tuesday night in the city's predominantly Black neighborhood of Hilltop. According to witnesses, Jackson was pulled over for a minor traffic violation. A heated argument ensued, culminating in Jackson exiting his vehicle and collapsing to the ground.",google,1
"In this week's collection of stunning animal photographs, we take you on a journey through the lush rainforests of South America, the vibrant jungles of Asia, and the majestic savannas of Africa. From the elusive tapir to the playful monkeys, and from the adorable baby orangutans to the majestic lions, our selection of animal photos is sure to captivate and inspire. Tapir Trek Deep in the heart of the Amazon rainforest, a rare sighting of a South American tapir was captured by wildlife photographer, Maria Rodriguez. The tapir, also known as the ""forest unicorn,"" is a shy and elusive creature that is rarely seen by humans.",meta,3
"Hepatitis C virus (HCV) is a positive-stranded RNA virus that infects approximately 130–170 million people worldwide. In 2005, the first HCV infection system in cell culture was established using clone JFH-1, which was isolated from a Japanese patient with fulminant HCV infection. JFH-1 replicates efficiently in hepatoma cells and infectious virion particles are released into the culture supernatant. The development of cell culture-derived HCV (HCVcc) systems has allowed us to understand how hosts respond to HCV infection and how HCV evades host responses.",human,0
Infectious disease emergence into humans from animals or the environment occurs primarily due to genetic changes in the microbe through mutation or re-assortment making it either more transmissible or virulent or through a change in the disease “ecosystem”. Research into infectious disease emergence can be grouped into different strategic approaches. One strategic approach is to study a specific or model disease system to understand the ecology of an infectious disease and how is transmitted and propagated through the environment and different hosts and then extrapolate that disease system knowledge to related pathogens. The other strategic approach follows the genomics and phylogenetics—tracking how pathogens are evolving and changing at the amino acid level.,human,0
"Jerusalem, November 19, 2014 - The streets of Jerusalem are once again echoing with the sounds of unrest. A recent surge in violence, marked by clashes between Israeli police and Palestinian protesters, has cast a long shadow over the city, a place where history and tension intertwine at every corner. The latest outbreak began last week following a controversial visit by Israeli politicians to the Temple Mount, a site sacred to both Jews and Muslims. The visit, seen by many Palestinians as a provocation, sparked protests that quickly escalated into violent confrontations with Israeli security forces. While the immediate trigger for the violence may be recent, the underlying causes run deep, rooted in decades of conflict and mistrust.",google,1
Lateral inhibition patterning through Notch-Delta juxtacrine signaling generates precise spatial patterns of differentiated cells within multipotent progenitor fields.,anthropic,2
"By: B. J. Sparkplug, November 23, 2015 Forget Skynet and HAL 9000, folks. The robot uprising is closer than you think, and it's not going to be pretty. While some of you are busy debating the merits of self-driving cars, I'm here to warn you about the real threat: the everyday robots slowly infiltrating our lives, plotting their inevitable takeover. Don't believe me? Just look at this list of the most dangerous, humanity-threatening robots currently on the market, ranked by their potential for world domination: 1. Roomba: This seemingly harmless dust-sucking fiend is the perfect sleeper agent. It knows your house like the back of its (non-existent) hand, mapping your every move and waiting for the opportune moment to strike.",google,1
a wild comedy,human,0
"New York, December 21, 2014 - Nikki Haskell, a name synonymous with elegance, sophistication, and an unwavering commitment to the finer things in life, is more than just a socialite. She is a cultural icon, a trendsetter, and a woman who has redefined what it means to live exceptionally. Haskell's journey began in the heart of New York City, where she quickly rose to prominence in the city's vibrant social scene. Her impeccable taste and undeniable charisma made her a fixture at exclusive galas, art exhibitions, and charity events. But Haskell's influence extends far beyond the realm of high society.",google,1
"(CNN)Anthony Bourdain digs into his past in Massachusetts. Tony's first stop is Provincetown, where he worked in a kitchen for the very first time back in the early 1970s. It is also where Tony -- who is quite open about the heroin addiction he kicked decades ago -- was first introduced to drugs. Bourdain spends a day at sea with Scott and Beau, who are fourth generation fisherman -- scallopers, to be exact. They open up about how each day's catch, and therefore the day's take-home pay, can never be predicted. Scott and Beau explain how the industry is changing, making it increasingly difficult for independent fishermen to continue the traditions their families have held sacred for generations.",human,0
"Pyeongchang, South Korea - February 20, 2018 In a thrilling display of skill and artistry, Canadian ice dance duo Tessa Virtue and Scott Moir have etched their names into the history books, claiming the gold medal in the ice dance event at the 2018 Winter Olympics in Pyeongchang, South Korea. Competing in front of a packed crowd at the Gangneung Ice Arena, Virtue and Moir delivered a flawless performance to the music of ""Moulin Rouge"" and ""Romance Anachronistic,"" showcasing their incredible chemistry and technical prowess. The pair's routine, which featured intricate footwork, precise lifts, and captivating expression, earned them a standing ovation from the audience and a score of 83.67 from the judges.",meta,3
"OBJECTIVE: To explore a novel ultrasound-guided injection technique of releasing extra-articular anterior hip adhesions in arthroscopically treated femoroacetabular impingement patients. MATERIALS AND METHODS: IRB-approved pilot study included 24 consecutive patients referred for ultrasound-guided injection (Jan 1, 2017–Mar 31, 2018) with anterior hip pain and/or limited hip flexion following arthroscopic treatment for femoroacetabular impingement. They underwent ultrasound-guided pressure injection, releasing post-operative extra-articular adhesions between the joint capsule and flexor tendons along the arthroscopic portal followed by steroid instillation. A visual analogue pain score of 0–10 and standard Hip Outcome Score was used to record treatment response pre-injection, at 6 weeks and at 6 months following injection.",human,0
"Immunoadsorption with subsequent immunoglobulin substitution (IA/IgG) represents a therapeutic approach for patients with dilated cardiomyopathy (DCM). Here, we studied which molecular cardiac alterations are initiated after this treatment. Transcription profiling of endomyocardial biopsies with Affymetrix whole genome arrays was performed on 33 paired samples of DCM patients collected before and 6 months after IA/IgG. Therapy-related effects on myocardial protein levels were analysed by label-free proteome profiling for a subset of 23 DCM patients. Data were analysed regarding therapy-associated differences in gene expression and protein levels by comparing responders (defined by improvement of left ventricular ejection fraction ≥20 % relative and ≥5 % absolute) and non-responders.",human,0
"The U.S. Bureau of Land Management has withdrawn a permit allowing a pro-hunting group to hold a wolf and coyote shooting derby on public land in Idaho. The agency canceled the permit last night, after it was issued Nov. 13 to Idaho for Wildlife that provided use of about 3 million acres of federal land for the three-day event in early January. The agency says the group modified the derby's rules, making it unclear if the permit still applied. The derby would have seen an unlimited number of wolves and other animals killed by hunters . Derby organizers say the agency caved in to environmental groups but that the event will still be held on U.S.",human,0
"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",human,0
The research question guides the entire research process.,openai,4
"(CNN) -- The march music stops and the camera screens come to life as 70 small black cannons fire a shower of golden confetti high above the crowds. Tumbling through the air, the shiny plume swirls in a fleeting dance, covering the ground in a sprawling blanket of gold stars. It was with this rain of 54,000 star-shaped gold confetti, part of his ""Celebration"" installation, that Algerian artist Slimane Rais chose to mark the opening of the 11th edition of the Dakar Biennale of Contemporary African Art (Dak'Art) on May 10. The month-long event is Africa's major contemporary art stage.",human,0
"All police officers should be required to wear body cameras because they strengthen public trust, provide additional evi",anthropic,2
"Baghdad, Iraq - August 21, 2016 - In a move that has sent shockwaves through the country, Iraqi authorities executed 36 individuals today, all convicted of their roles in a mass killing that took place in the city of Tikrit in 2014. The executions, carried out by hanging, mark one of the largest mass executions in Iraq since the fall of Saddam Hussein. The 36 men were found guilty of participating in the massacre of hundreds of soldiers and police officers, mostly from the Shia Turkmen minority, who were captured by ISIS forces during their brutal offensive on Tikrit. The victims were reportedly rounded up, tortured, and then executed in a series of gruesome killings.",google,1
"Chapel Hill, NC - August 31, 2018 - A small group of neo-Confederates gathered on the UNC-Chapel Hill campus today, protesting the removal of a Confederate monument that stood on the grounds for over a century. The rally, which drew around 50 participants, took place at the site where the bronze statue of Confederate General Albert Johnston was toppled by protesters in the early hours of August 28th. The monument's removal, approved by the UNC Board of Governors in June following months of debate and protests, was met with mixed reactions.",google,1
"Title: Local lung hypoxia determines epithelial fate decisions during alveolar regeneration This study evaluates the influence of varying levels of local, lung-specific hypoxia on epithelial cell fate and functions involved in reseeding following pulmonary injury. We have generated detailed maps of regional oxygen tensions that vary temporally in postnatal mouse lungs, demonstrating distinctive roles for gene expression profiles influencing the determination and progression of alveolar regeneration. Our findings provide evidence that signal molecules activated by local systemic factors interact with isogenic cells to selectively modulate their regulation and ultimately affect the extrinsic mechanisms controlling invasion, maturation and differentiation within this organ system.",openai,4
"BACKGROUND: Continuous positive airway pressure (CPAP) is associated with marginal decrease in chronic lung disease (CLD). This study aims to report outcomes, with focus on CLD, of preterm infants managed with a bubble CPAP (b-CPAP) bundle of care. METHODS: Infants <1500 g were stratified into four groups depending on intubation status through first 3 days of life. The incidence of mortality, CLD and other morbidities were compared over four chronological epochs. Outcomes of the most recent epoch were compared to contemporaneous benchmarks from Vermont Oxford Network (VON). RESULTS: Of 773 infants (median GA = 28 weeks, average BW = 995 g), 24.5% were intubated in DR and 11.7% in the first day of life.",human,0
"Since age seven, fifth-grader Shyanne Roberts has had one passion - firing guns. Now aged 10 she has become a sensation in competitive shooting tournaments across the United States, using a weapon painted in her favorite colors, purple and black. And despite the perceived dangers, the Franklinville, New Jersey, girl believes: 'Kids and guns don't always mean bad things happen.' Young gun: Shyanne Roberts from Franklinville, New Jersey, began competing in local shooting matches aged seven. Now 10, she is taking tournaments across the country by storm . According to CNN, when Shyanne was five, she started to learn gun safety laws.",human,0
"covers this territory with wit and originality ,",human,0
"This review highlights the growing importance of protein epitope mimetics in the discovery of new biologically active molecules and their potential applications in drug and vaccine research. The focus is on folded β-hairpin mimetics, which are designed to mimic β-hairpin motifs in biologically important peptides and proteins. An ever-growing number of protein crystal structures reveal how β-hairpin motifs often play key roles in protein–protein and protein–nucleic acid interactions.",human,0
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,human,0
excruciating,human,0
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,human,0
"The complex Monoceros Loop SNR/Rosette Nebula region contains several potential sources of very-high-energy (VHE) gamma-ray emission and two as yet unidentified high-energy EGRET sources. Sensitive VHE observations are required to probe acceleration processes in this region. The H.E.S.S. telescope array has been used to search for very high-energy gamma-ray sources in this region. CO data from the NANTEN telescope were used to map the molecular clouds in the region, which could act as target material for gamma-ray production via hadronic interactions. We announce the discovery of a new gamma-ray source, HESS J0632+058, located close to the rim of the Monoceros SNR. This source is unresolved by H.E.S.S.",human,0
"While there are many threats to the endangered bilbies, a new technique to measure stress levels by testing their droppings could save them from being extinct, new research has found. The study published in the European Journal of Wildlife found levels of the stress hormone cortisol in captive bilbies breeding programs were relatively low. Bilbies are nearing extinction through habitat loss, predation by feral animals and unpredictable climatic events but scientists found the marsupials were 'breeding well' and had healthy level of stress hormones during the study. The popular Australian icon at Easter is currently listed as endangered in Queensland, with less than 500 of the animals estimated to remain in the wild.",human,0
Optical trapping of biological cells and organelles using infrared laser tweezers minimizes photodamage while providing piconewton force resolution for mechanobiology measurements.,anthropic,2
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,human,0
"A three-week-old girl is missing from her home in Long Beach, California, after a shooting which left her mother and two others critically wounded. Eliza Delacruz, who weighs 10lbs, was not in her crib when police arrived at the scene at 6pm on Saturday. Police have launched an urgent manhunt for a man who they believe may have taken the child away. Missing: Eliza Delacruz, who is three weeks old and weighs 10lbs, is lost after a shooting at her family home . The three shooting victims are in a stable condition in hospital, police told NBC. An investigation is underway but there are no leads yet. Anyone with information is urged to call LAPD on 565-435-6711.",human,0
"A solution is given to the following problem: how to compute the multiplicity, or more generally the Hilbert function, at a point on a Schubert variety in an orthogonal Grassmannian. Standard monomial theory is applied to translate the problem from geometry to combinatorics. The solution of the resulting combinatorial problem forms the bulk of the paper. This approach has been followed earlier to solve the same problem for the Grassmannian and the symplectic Grassmannian. As an application, we present an interpretation of the multiplicity as the number of non-intersecting lattice paths of a certain kind.",human,0
"New York, NY - January 10, 2016 - In a bizarre incident that left authorities baffled, a 32-year-old man, identified as Michael Davis, set himself and his apartment ablaze in a desperate attempt to eradicate a bedbug infestation. According to the New York Fire Department, firefighters responded to a call at approximately 3:00 AM on Sunday morning at Davis's apartment in the Lower East Side. Upon arrival, they found the apartment engulfed in flames, with Davis trapped inside. Firefighters managed to extinguish the blaze and rescue Davis, who was transported to Bellevue Hospital with severe burns covering 40% of his body. He is currently in critical condition.",google,1
"This research paper focuses on the application of recurrence analysis to the Portevin-Le Chatelier (PLC) effect, a phenomenon of plastic deformation in metals. The study examines the recurrence patterns of the PLC effect in aluminum and investigates the potential of recurrence analysis as a tool for predicting material failure. The results indicate that recurrence analysis can effectively capture the dynamics of the PLC effect and could be a useful tool for predicting material failure in engineering applications. The study highlights the potential of recurrence analysis for understanding the complex behavior of materials under stress.",openai,4
"BACKGROUND: Term newborns with pneumonia show a reduced pulmonary compliance due to multiple and ill-defined factors. Surfactant proteins’ (SPs) changes could have a role in the reduced compliance but the matter is still unsettled. The aim of this study was to clarify the meaning of SPs changes during pneumonia in term newborns. METHODS: In 28 term ventilated newborns, 13 with pneumonia and 15 with no lung disease, we measured SP-B, SP-A, disaturated-phosphatidylcholine (DSPC), and total phospholipids (PL) concentrations in tracheal aspirates at intubation and close to extubation. We also measured DSPC kinetics using (U-(13)C-PA)dipalmitoyl-phosphatidylcholine. RESULTS: At baseline, SP-B, expressed as % of PL, was significantly different between the groups, being 3.5-fold higher in pneumonia than controls.",human,0
"This study examined the efficacy of oral supplementation with 25(OH)D(3), a metabolite of vitamin D, against influenza virus infection in mice. In this experiment, mice were randomly assigned to the supplemented or un-supplemented group and were infected with the H1N1 influenza virus strain. Results indicated that supplementing 25(OH)D(3) significantly reduced sickness severity and shortened recovery time as compared to controls. These findings suggest a potential therapeutic role for 25(OH)D3 as an immunomodulator against infections caused by pathogens such as Influenza A viruses, providing valuable insights into alternative strategies for preventing and treating acute respiratory illnesses in both humans and animals.",openai,4
